note_id,customer_id,note_date,note_text
N0000443,C000227,2025-09-07,Customer asked for new credit limit review.
N0000444,C000027,2024-02-22,Customer requested branch appointment.
N0000445,C000145,2024-08-06,Insurance claim follow-up after car accident.
N0000446,C000117,2025-10-08,Customer asked for new credit limit review.
N0000447,C000304,2025-04-14,Customer asked for new credit limit review.
N0000448,C000707,2025-09-19,Potential fraud alert on ecommerce transaction.
N0000449,C000221,2024-09-18,Customer requested settlement after missed payment.
N0000450,C000434,2024-12-25,Customer lost job and asked for installment restructuring.
N0000451,C000157,2025-07-11,No issue. Customer asked for account balance information.
N0000452,C000382,2025-09-18,Customer asked for new credit limit review.
N0000453,C000698,2024-03-25,Customer requested branch appointment.
N0000454,C000189,2024-06-25,Complaint about credit card fees and late charge.
N0000455,C000868,2025-07-31,Customer requested settlement after missed payment.
N0000456,C000376,2024-04-13,No issue. Customer asked for account balance information.
N0000457,C000101,2025-08-15,No issue. Customer asked for account balance information.
N0000458,C000448,2025-11-03,Customer requested branch appointment.
N0000459,C000738,2024-11-13,Insurance claim follow-up after car accident.
N0000460,C000075,2025-07-30,Potential fraud alert on ecommerce transaction.
N0000461,C000121,2025-04-04,Customer reports financial stress and reduced income.
N0000462,C000371,2024-03-17,Customer requested branch appointment.
N0000463,C000323,2024-04-04,Insurance claim follow-up after car accident.
N0000464,C000574,2024-08-21,Customer lost job and asked for installment restructuring.
N0000465,C000839,2025-12-05,Customer reports financial stress and reduced income.
N0000466,C000561,2024-06-06,Customer asked for new credit limit review.
N0000467,C000873,2025-03-02,No issue. Customer asked for account balance information.
N0000468,C000911,2025-09-03,Complaint about credit card fees and late charge.
N0000469,C000732,2024-04-18,Potential fraud alert on ecommerce transaction.
N0000470,C000271,2024-11-06,Customer requested branch appointment.
N0000471,C000950,2025-05-19,Customer asked for new credit limit review.
N0000472,C000249,2025-02-22,No issue. Customer asked for account balance information.
N0000473,C000414,2025-02-27,Customer requested settlement after missed payment.
N0000474,C000025,2025-01-24,Customer requested branch appointment.
N0000475,C000761,2024-01-27,Customer asked for early loan repayment options.
N0000476,C000891,2025-02-28,Potential fraud alert on ecommerce transaction.
N0000477,C000886,2024-09-20,No issue. Customer asked for account balance information.
N0000478,C000437,2025-08-30,Customer lost job and asked for installment restructuring.
N0000479,C000511,2025-08-24,Complaint about credit card fees and late charge.
N0000480,C000919,2025-03-13,Insurance claim follow-up after car accident.
N0000481,C000695,2024-08-11,Customer asked for new credit limit review.
N0000482,C000811,2025-07-09,Customer asked for new credit limit review.
N0000483,C000162,2025-08-08,Customer lost job and asked for installment restructuring.
N0000484,C000148,2024-05-09,Customer reports financial stress and reduced income.
N0000485,C000362,2025-03-31,Customer asked for new credit limit review.
N0000486,C000352,2025-03-14,Complaint about credit card fees and late charge.
N0000487,C000856,2025-12-01,Customer requested settlement after missed payment.
N0000488,C000741,2024-12-29,Customer requested settlement after missed payment.
N0000489,C000164,2024-03-15,Customer asked for early loan repayment options.
N0000490,C000495,2024-08-19,Complaint about credit card fees and late charge.
N0000491,C000139,2024-05-03,Customer asked for new credit limit review.
N0000492,C000574,2025-11-20,Customer asked for early loan repayment options.
N0000493,C000353,2024-11-08,Potential fraud alert on ecommerce transaction.
N0000494,C000019,2024-05-06,Potential fraud alert on ecommerce transaction.
N0000495,C000727,2024-01-14,Customer asked for early loan repayment options.
N0000496,C000613,2025-09-25,Insurance claim follow-up after car accident.
N0000497,C000924,2024-04-05,Potential fraud alert on ecommerce transaction.
N0000498,C000909,2024-05-12,No issue. Customer asked for account balance information.
N0000499,C000652,2025-05-02,Customer asked for early loan repayment options.
N0000500,C000680,2024-06-22,Insurance claim follow-up after car accident.
N0000501,C000278,2025-11-16,Customer asked for early loan repayment options.
N0000502,C000556,2024-11-29,Customer reports financial stress and reduced income.
N0000503,C000916,2024-08-06,Complaint about credit card fees and late charge.
N0000504,C000531,2025-06-27,Customer requested branch appointment.
N0000505,C000281,2025-02-20,Complaint about credit card fees and late charge.
N0000506,C000197,2025-08-13,No issue. Customer asked for account balance information.
N0000507,C000250,2025-04-17,Customer asked for new credit limit review.
N0000508,C000501,2024-06-15,Customer asked for new credit limit review.
N0000509,C000532,2025-06-17,Customer lost job and asked for installment restructuring.
N0000510,C000842,2025-08-31,Insurance claim follow-up after car accident.
N0000511,C000406,2025-12-08,Customer asked for new credit limit review.
N0000512,C000857,2024-08-16,Customer requested branch appointment.
N0000513,C000287,2025-11-21,No issue. Customer asked for account balance information.
N0000514,C000082,2025-09-10,Customer requested branch appointment.
N0000515,C000915,2024-11-06,Insurance claim follow-up after car accident.
N0000516,C000885,2025-11-15,Customer requested branch appointment.
N0000517,C000231,2024-06-29,Customer asked for new credit limit review.
N0000518,C000143,2025-02-16,Insurance claim follow-up after car accident.
N0000519,C000051,2025-05-26,Potential fraud alert on ecommerce transaction.
N0000520,C000159,2025-10-03,Insurance claim follow-up after car accident.
N0000521,C000859,2025-06-25,Customer asked for new credit limit review.
N0000522,C000232,2025-04-08,Insurance claim follow-up after car accident.
N0000523,C000813,2025-05-18,Complaint about credit card fees and late charge.
N0000524,C000541,2025-05-30,Customer requested settlement after missed payment.
N0000525,C000740,2025-09-18,Potential fraud alert on ecommerce transaction.
N0000526,C000066,2025-05-15,Insurance claim follow-up after car accident.
N0000527,C000840,2024-06-25,Customer reports financial stress and reduced income.
N0000528,C000799,2025-01-08,Customer lost job and asked for installment restructuring.
N0000529,C000971,2024-09-07,No issue. Customer asked for account balance information.
N0000530,C000813,2025-09-02,Insurance claim follow-up after car accident.
N0000531,C000745,2025-06-17,Customer requested branch appointment.
N0000532,C000374,2025-11-18,Customer requested settlement after missed payment.
N0000533,C000160,2025-09-21,Customer requested branch appointment.
N0000534,C000241,2025-04-09,Insurance claim follow-up after car accident.
N0000535,C000122,2025-03-10,Customer lost job and asked for installment restructuring.
N0000536,C000054,2024-12-01,No issue. Customer asked for account balance information.
N0000537,C000036,2025-11-19,Customer asked for early loan repayment options.
N0000538,C000961,2025-03-26,Customer lost job and asked for installment restructuring.
N0000539,C000152,2025-08-19,Customer asked for new credit limit review.
N0000540,C000016,2025-01-22,Customer asked for early loan repayment options.
N0000541,C000982,2025-09-16,No issue. Customer asked for account balance information.
N0000542,C000946,2025-08-22,Potential fraud alert on ecommerce transaction.
N0000543,C000459,2025-06-13,Customer asked for new credit limit review.
N0000544,C000576,2025-03-29,No issue. Customer asked for account balance information.
N0000545,C000822,2025-08-21,Customer requested settlement after missed payment.
N0000546,C000630,2024-10-18,Complaint about credit card fees and late charge.
N0000547,C000265,2024-01-05,Customer lost job and asked for installment restructuring.
N0000548,C000711,2025-07-11,Customer lost job and asked for installment restructuring.
N0000549,C000819,2025-08-13,Potential fraud alert on ecommerce transaction.
N0000550,C000227,2024-03-22,Customer lost job and asked for installment restructuring.
N0000551,C000243,2025-03-09,Potential fraud alert on ecommerce transaction.
N0000552,C000623,2024-01-13,Customer requested settlement after missed payment.
N0000553,C000762,2024-12-05,Customer requested branch appointment.
N0000554,C000748,2024-06-09,Customer lost job and asked for installment restructuring.
N0000555,C000448,2025-12-04,Customer reports financial stress and reduced income.
N0000556,C000976,2025-03-25,Complaint about credit card fees and late charge.
N0000557,C000173,2024-05-13,No issue. Customer asked for account balance information.
N0000558,C000104,2025-11-01,Insurance claim follow-up after car accident.
N0000559,C000457,2025-01-20,Potential fraud alert on ecommerce transaction.
N0000560,C000890,2024-11-19,Customer asked for new credit limit review.
N0000561,C000748,2025-08-13,Complaint about credit card fees and late charge.
N0000562,C000598,2024-03-25,Insurance claim follow-up after car accident.
N0000563,C000209,2025-03-15,Complaint about credit card fees and late charge.
N0000564,C000717,2024-02-24,Customer asked for new credit limit review.
N0000565,C000605,2025-06-19,Potential fraud alert on ecommerce transaction.
N0000566,C000304,2024-11-12,Customer requested settlement after missed payment.
N0000567,C000811,2024-11-06,Customer requested settlement after missed payment.
N0000568,C000885,2024-09-05,Customer asked for new credit limit review.
N0000569,C000362,2024-04-12,Customer reports financial stress and reduced income.
N0000570,C000787,2025-07-30,Customer reports financial stress and reduced income.
N0000571,C000854,2025-12-10,Customer requested settlement after missed payment.
N0000572,C000130,2025-08-06,Insurance claim follow-up after car accident.
N0000573,C000199,2025-12-04,Customer requested branch appointment.
N0000574,C000460,2024-06-19,Customer requested branch appointment.
N0000575,C000125,2024-10-25,Potential fraud alert on ecommerce transaction.
N0000576,C000274,2025-08-17,Customer requested settlement after missed payment.
N0000577,C000501,2025-07-20,Potential fraud alert on ecommerce transaction.
N0000578,C000878,2024-02-28,Complaint about credit card fees and late charge.
N0000579,C000181,2024-01-17,Customer asked for early loan repayment options.
N0000580,C000389,2025-04-21,Insurance claim follow-up after car accident.
N0000581,C000229,2024-04-01,Potential fraud alert on ecommerce transaction.
N0000582,C000672,2025-07-29,Customer lost job and asked for installment restructuring.
N0000583,C000614,2025-05-19,Customer reports financial stress and reduced income.
N0000584,C000718,2025-05-20,Customer asked for new credit limit review.
N0000585,C000793,2025-07-02,Customer requested settlement after missed payment.
N0000586,C000076,2024-10-06,Customer requested branch appointment.
N0000587,C000171,2025-03-07,Customer asked for early loan repayment options.
N0000588,C000442,2024-01-05,No issue. Customer asked for account balance information.
N0000589,C000240,2025-11-13,Insurance claim follow-up after car accident.
N0000590,C000957,2025-06-10,Customer requested branch appointment.
N0000591,C000095,2024-11-06,Customer lost job and asked for installment restructuring.
N0000592,C000532,2024-06-30,Customer requested settlement after missed payment.
N0000593,C000340,2024-03-14,No issue. Customer asked for account balance information.
N0000594,C000071,2025-01-17,Complaint about credit card fees and late charge.
N0000595,C000579,2025-01-03,Customer reports financial stress and reduced income.
N0000596,C000821,2025-05-18,Customer requested branch appointment.
N0000597,C000516,2025-07-28,Customer requested settlement after missed payment.
N0000598,C000599,2024-05-15,Customer requested settlement after missed payment.
N0000599,C000775,2025-02-27,Customer lost job and asked for installment restructuring.
N0000600,C000436,2025-03-07,Customer requested settlement after missed payment.
N0000601,C000131,2024-09-12,Complaint about credit card fees and late charge.
N0000602,C000358,2025-11-03,Insurance claim follow-up after car accident.
N0000603,C000821,2024-05-26,Insurance claim follow-up after car accident.
N0000604,C000654,2024-02-13,Customer reports financial stress and reduced income.
N0000605,C000608,2024-05-03,Customer requested branch appointment.
N0000606,C000751,2025-11-10,Insurance claim follow-up after car accident.
N0000607,C000500,2025-04-29,Insurance claim follow-up after car accident.
N0000608,C000523,2025-08-06,Complaint about credit card fees and late charge.
N0000609,C000569,2024-05-22,Customer asked for new credit limit review.
N0000610,C000676,2024-03-13,Complaint about credit card fees and late charge.
N0000611,C000278,2025-12-24,Customer asked for new credit limit review.
N0000612,C000766,2024-09-16,Customer asked for early loan repayment options.
N0000613,C000278,2025-05-10,Customer requested settlement after missed payment.
N0000614,C000693,2025-06-09,Customer reports financial stress and reduced income.
N0000615,C000439,2025-01-18,Customer requested branch appointment.
N0000616,C000978,2024-05-30,Customer asked for new credit limit review.
N0000617,C000700,2025-11-01,Customer asked for new credit limit review.
N0000618,C000457,2025-09-16,No issue. Customer asked for account balance information.
N0000619,C000080,2025-04-14,Customer asked for new credit limit review.
N0000620,C000941,2025-12-08,Complaint about credit card fees and late charge.
N0000621,C000486,2024-12-23,Customer requested branch appointment.
N0000622,C000529,2025-06-18,Customer asked for new credit limit review.
N0000623,C000633,2025-03-01,Customer reports financial stress and reduced income.
N0000624,C000980,2025-06-24,Customer requested settlement after missed payment.
N0000625,C000538,2025-06-10,Customer requested branch appointment.
N0000626,C000016,2024-01-19,Customer lost job and asked for installment restructuring.
N0000627,C000408,2025-04-15,Customer lost job and asked for installment restructuring.
N0000628,C000499,2025-06-08,Insurance claim follow-up after car accident.
N0000629,C000826,2025-10-29,Customer asked for early loan repayment options.
N0000630,C000568,2025-03-28,Insurance claim follow-up after car accident.
N0000631,C000499,2024-05-07,Customer asked for early loan repayment options.
N0000632,C000755,2025-10-01,Potential fraud alert on ecommerce transaction.
N0000633,C000326,2024-01-03,Complaint about credit card fees and late charge.
N0000634,C000345,2025-10-08,No issue. Customer asked for account balance information.
N0000635,C000463,2024-06-12,Customer requested settlement after missed payment.
N0000636,C000493,2025-01-15,Insurance claim follow-up after car accident.
N0000637,C000460,2024-04-01,Customer lost job and asked for installment restructuring.
N0000638,C000120,2025-04-20,Customer asked for early loan repayment options.
N0000639,C000464,2025-02-17,Customer asked for new credit limit review.
N0000640,C000840,2024-12-17,Customer reports financial stress and reduced income.
N0000641,C000648,2025-11-15,Insurance claim follow-up after car accident.
N0000642,C000321,2024-12-11,Customer requested branch appointment.
N0000643,C000279,2025-03-29,Complaint about credit card fees and late charge.
N0000644,C000259,2025-11-01,No issue. Customer asked for account balance information.
N0000645,C000135,2024-02-21,Customer reports financial stress and reduced income.
N0000646,C000609,2024-04-01,No issue. Customer asked for account balance information.
N0000647,C000564,2024-07-31,Insurance claim follow-up after car accident.
N0000648,C000199,2024-07-12,Customer asked for early loan repayment options.
N0000649,C000823,2025-12-24,No issue. Customer asked for account balance information.
N0000650,C000566,2025-09-07,Customer asked for early loan repayment options.
N0000651,C000814,2025-11-13,Complaint about credit card fees and late charge.
N0000652,C000767,2025-04-25,Complaint about credit card fees and late charge.
N0000653,C000247,2024-03-25,Customer asked for early loan repayment options.
N0000654,C000846,2025-06-26,Customer reports financial stress and reduced income.
N0000655,C000978,2024-02-04,Customer lost job and asked for installment restructuring.
N0000656,C000474,2025-10-04,Potential fraud alert on ecommerce transaction.
N0000657,C000684,2024-06-27,Customer requested settlement after missed payment.
N0000658,C000063,2024-12-12,Customer requested settlement after missed payment.
N0000659,C000043,2024-08-27,Customer requested branch appointment.
N0000660,C000135,2024-02-24,Customer lost job and asked for installment restructuring.
N0000661,C000973,2025-08-13,Customer lost job and asked for installment restructuring.
N0000662,C000426,2025-05-12,Customer requested branch appointment.
N0000663,C000630,2025-09-04,Customer lost job and asked for installment restructuring.
N0000664,C000049,2025-09-13,Customer requested settlement after missed payment.
N0000665,C000158,2024-01-03,No issue. Customer asked for account balance information.
N0000666,C000256,2024-04-03,Customer requested branch appointment.
N0000667,C000024,2025-08-05,Complaint about credit card fees and late charge.
N0000668,C000554,2025-11-02,Customer requested branch appointment.
N0000669,C000613,2025-09-19,Customer asked for early loan repayment options.
N0000670,C000308,2024-11-20,Potential fraud alert on ecommerce transaction.
N0000671,C000123,2025-09-16,Insurance claim follow-up after car accident.
N0000672,C000617,2025-07-27,Customer asked for early loan repayment options.
N0000673,C000196,2025-07-22,Customer requested settlement after missed payment.
N0000674,C000238,2025-11-07,Insurance claim follow-up after car accident.
N0000675,C000217,2024-11-05,Customer requested settlement after missed payment.
N0000676,C000456,2025-05-07,Customer requested branch appointment.
N0000677,C000900,2024-07-15,Complaint about credit card fees and late charge.
N0000678,C000794,2024-05-11,Customer asked for early loan repayment options.
N0000679,C000892,2025-08-13,Customer requested branch appointment.
N0000680,C000665,2024-04-21,No issue. Customer asked for account balance information.
N0000681,C000545,2024-06-14,Customer asked for early loan repayment options.
N0000682,C000914,2025-04-10,Customer reports financial stress and reduced income.
N0000683,C000200,2024-08-24,Customer reports financial stress and reduced income.
N0000684,C000746,2024-02-21,Customer lost job and asked for installment restructuring.
N0000685,C000513,2025-07-02,Customer requested branch appointment.
N0000686,C000302,2024-09-22,Customer requested branch appointment.
N0000687,C000621,2024-10-12,Complaint about credit card fees and late charge.
N0000688,C000187,2025-06-14,Customer lost job and asked for installment restructuring.
N0000689,C000222,2024-10-27,No issue. Customer asked for account balance information.
N0000690,C000216,2024-03-01,Customer reports financial stress and reduced income.
N0000691,C000978,2024-06-03,Customer asked for new credit limit review.
N0000692,C000935,2025-09-07,Customer requested branch appointment.
N0000693,C000924,2024-09-24,Customer requested branch appointment.
N0000694,C000972,2025-08-28,Customer lost job and asked for installment restructuring.
N0000695,C000688,2025-11-10,Customer lost job and asked for installment restructuring.
N0000696,C000305,2025-04-12,Insurance claim follow-up after car accident.
N0000697,C000862,2025-07-27,Insurance claim follow-up after car accident.
N0000698,C000445,2025-07-14,No issue. Customer asked for account balance information.
N0000699,C000037,2024-05-01,Insurance claim follow-up after car accident.
N0000700,C000385,2024-05-02,Customer asked for early loan repayment options.
